name,description,year_added
ESTADO,Estado presente no nome do arquivo .DBF do qual os dados são obtidos.,
ANO,Ano presente no nome do arquivo .DBF do qual os dados são obtidos.,
CAUSABAS,Causa básica da DO. (Códigos CID 10),1979
CODMUNOCOR,Código relativo ao município onde ocorreu o óbito. (Números),1996
CODMUNRES,"Código do município de residência. Em caso de óbito  fetal, considerar o município de residência da mãe. (Números)",1996
DTNASC,Data do nascimento do falec ido. Em caso de óbito fetal as datas de óbito e nascimento deverão ser iguais.(Data no padrão ddmmaaaa),1996
DTOBITO,Data em que occoreu o óbito.(Data no padrão ddmmaaaa),1996
ESC,Escolaridade em anos. (1 – Nenhuma; 2 – de 1 a 3 anos; 3 – de 4 a 7 anos; 4 – de 8 a 1 1 anos; 5 – 12 anos e mais; 9 – Ignorado),1996
ESC2010,Escolaridade 2010. Nível da última série concluída pelo falecido. (0 – Sem escolaridade; 1 – Fundamental I (1ª a 4ª série); 2 – Fundamental II (5ª a 8ª série); 3 – Médio (antigo 2º Grau); 4 – Superior incompleto; 5 – Superior completo; 9 – Ignorado),2011
ESCFALAGR1,Escolaridade do falecido agregada (formulário a partir de 2010). (00 – Sem Escolaridade; 01 – Fundame ntal I Incompleto; 02 – Fundamental I Completo; 03 – Fundamental II Incompl eto; 04 – Fundamental II Completo; 05 – Ensino Médio Incompl eto; 06 – Ensino Médio Completo; 07 – Superior Incompleto; 08 – Supe rior Completo; 09 – Ignorado; 10 – Fundamental I Incompleto ou Inespecífico; 11 – Fundamental II Incompleto ou Inespecífico; 12 – Ensino Médio Incompleto ou Inespecífico),2012
ESTCIV,Situação conjugal do falecid o informada pelos familiares . (1 – Solteiro; 2 – Casado; 3 – Viúvo; 4 – Separado judicialmente/divorciado ; 5 – União estável; 9 – Ignorado),1996
IDADE,"Idade do falecido em minutos, horas, dias, meses ou anos. (Idade: composto de dois subcampos. - O primeiro, de 1 dígito, indica a unidade da idade (se 1 = minuto, se 2 = hora, se 3 = mês, se 4 = ano, se = 5 idade maior que 100 anos). - O segundo, de dois dígitos, indica a quantidade de unidades: Idade menor de 1 hora: subcampo varia de 01 e 59 (minutos); De 1 a 23 Horas: subcampo varia de 01 a 23 (horas); De 24 horas e 29 dias: subcampo varia de 01 a 29 (dias); De 1 a menos de 12 meses completos: subcampo varia de 01 a 1 1 (meses); Anos - subcampo varia de 00 a 99; - 9 - ignorado)",1979
LOCOCOR,Local de ocorr ência do óbito. (1 – hospital; 2 – outros estabelecimentos de saúde; 3 – domicílio; 4 – via pública; 5 – outros; 6 - aldeia indígena; 9 – ignorado).,1979
NATURAL,País e Unidade da Federaçã o onde falecido nasceu. Se estrangeiro informar País. (Números),1979
OCUP,Tipo de trabalho que o falecido desenvolveu na maior parte de sua vida produtiva. Preenchimento de acordo com Classifica ção Brasileira de Ocupações – CBO 2002. (Números),1996
RACACOR,Cor informada pelo responsá vel pelas informações do falecido. (1 – Branca; 2 – Preta; 3 – Amarela; 4 – Parda; 5 – Indígena),1995
SEXO,"Sexo do falecido. “Ignorado” selecionada em casos especiais como cadáveres mutilados, em estado avançado de decomposição, genitália indefinida ou hermafroditismo. (M – masculino; F – feminino; I - ignorado)",1979
