Localização,1996,2000,2010,2022
Brasil,157070163,169872856,190755799,203080756
Norte,11288259,12911170,15864454,17354884
Nordeste,44766851,47782487,53081950,54658515
Sudeste,67000738,72430193,80364410,84840113
Sul,23513736,25110348,27386891,29937706
Centro-Oeste,10500579,11638658,14058094,16289538
Rondônia,1229306,1380952,1562409,1581196
Acre,483593,557882,733559,830018
Amazonas,2389279,2817252,3483985,3941613
Roraima,247131,324397,450479,636707
Pará,5510849,6195965,7581051,8120131
Amapá,379459,477032,669526,733759
Tocantins,1048642,1157690,1383445,1511460
Maranhão,5222183,5657552,6574789,6776699
Piauí,2673085,2843428,3118360,3271199
Ceará,6809290,7431597,8452381,8794957
Rio Grande do Norte,2558660,2777509,3168027,3302729
Paraíba,3305616,3444794,3766528,3974687
Pernambuco,7399071,7929154,8796448,9058931
Alagoas,2633251,2827856,3120494,3127683
Sergipe,1624020,1784829,2068017,2210004
Bahia,12541675,13085769,14016906,14141626
Minas Gerais,16672613,17905134,19597330,20539989
Espírito Santo,2802707,3097498,3514952,3833712
Rio de Janeiro,13406308,14392106,15989929,16055174
São Paulo,34119110,37035456,41262199,44411238
Paraná,9003804,9564643,10444526,11444380
Santa Catarina,4875244,5357864,6248436,7610361
Rio Grande do Sul,9634688,10187842,10693929,10882965
Mato Grosso do Sul,1927834,2078070,2449024,2757013
Mato Grosso,2235832,2505245,3035122,3658649
Goiás,4514967,5004197,6003788,7056495
Distrito Federal,1821946,2051146,2570160,2817381
