Localização,1997,1998,1999
Brasil,159636413.0,161790311.0,163947554.0
Norte,11604158.0,11868725.0,12133705.0
Rondônia,1255522.0,1276173.0,1296856.0
Acre,500185.0,514050.0,527937.0
Amazonas,2460602.0,2520684.0,2580860.0
Roraima,254499.0,260705.0,266922.0
Pará,5650681.0,5768476.0,5886454.0
Amapá,401916.0,420834.0,439781.0
Tocantins,1080753.0,1107803.0,1134895.0
Nordeste,45334385.0,45811342.0,46289042.0
Maranhão,5295452.0,5356853.0,5418349.0
Piauí,2695876.0,2714999.0,2734152.0
Ceará,6920292.0,7013376.0,7106605.0
Rio Grande Do Norte,2594340.0,2624397.0,2654501.0
Paraíba,3331673.0,3353624.0,3375609.0
Pernambuco,7466773.0,7523755.0,7580826.0
Alagoas,2663071.0,2688117.0,2713203.0
Sergipe,1657164.0,1684953.0,1712786.0
Bahia,12709744.0,12851268.0,12993011.0
Sudeste,68065957.0,68961343.0,69858115.0
Minas Gerais,16904977.0,17100314.0,17295955.0
Espírito Santo,2853098.0,2895547.0,2938062.0
Rio De Janeiro,13555657.0,13681410.0,13807358.0
São Paulo,34752225.0,35284072.0,35816740.0
Sul,23862664.0,24154080.0,24445950.0
Paraná,9142215.0,9258813.0,9375592.0
Santa Catarina,4958339.0,5028339.0,5098448.0
Rio Grande Do Sul,9762110.0,9866928.0,9971910.0
Centro-Oeste,10769249.0,10994821.0,11220742.0
Mato Grosso Do Sul,1964603.0,1995578.0,2026600.0
Mato Grosso,2287846.0,2331663.0,2375549.0
Goiás,4639785.0,4744174.0,4848725.0
Distrito Federal,1877015.0,1923406.0,1969868.0
