name,description,year_added
ACIDTRAB,Indica se o evento que desencadeou o óbito está relacion ado ao processo de trabalho. (1 – sim; 2 – não; 9 – ignorado),1979
ALTCAUSA,Indica se houve correção ou alteração da causa do óbito após investigação. (1- Sim; 2 – Não),2014
AREARES,,1979
ASSISTMED,"Se refere ao atendimento médico continuado que o paciente recebeu, ou não, durante a enfermidade que ocasionou o óbito. (1 – sim; 2 – não; 9 – ignorado)",1979
ATESTADO,CIDs informados no atestado. (Códigos CID 10),2014
ATESTANTE,Indica se o medico que assina atendeu o paciente 1: Sim 2: Substituto 3: IML 4: SVO 5: Outros,1979
BAIRES,"Bairro de residencia. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional",1979
CARTORIO,Código do cartório onde o óbito foi registrado,1979
CAUSABAS,Causa básica da DO. (Códigos CID 10),1979
CAUSABAS_O,Causa básica informada antes da resseleção. (Códigos CID 10),2006
CAUSAMAT,CID da causa externa associada a uma causa materna. (Códigos CID 10),2011
CB_PRE,Causa básica informada antes da resseleção (localidade). (Código CID 10),2006
CIRCOBITO,Tipo de morte violenta ou circunstâncias em que se deu a morte não natural. (1 – acidente; 2 – suicídio; 3 – homicídio; 4 – outros; 9 – ignorado),1996
CIRURGIA,Realização de cirurgia. (1 – sim; 2 – não; 9 – ignorado),1979
CODBAIOCOR,Código do bairro de ocorrência.,2006
CODBAIRES,Código do Bairro de residência,1996
CODCART,,2012
CODESTAB,Código do estabelecimento.,2001
CODIFICADO,Informa se formulario foi codificado. (Se estiver codificad o (valor: S) ou não (valor: N)),2014
CODIGO,"Codigo do estabelecimento onde ocorreu o obito, se LOCOCOR = 1. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional",1979
CODMUNCART,Código do município do cartório,2012
CODMUNNATU,Código do município de naturalidade do falecido.(Números),2014
CODMUNOCOR,Código relativo ao município onde ocorreu o óbito. (Números),1996
CODMUNRES,"Código do município de residência. Em caso de óbito  fetal, considerar o município de residência da mãe. (Números)",1996
COMUNSVOIM,Código do município do SVO ou do IML,2011
CONTADOR,,1979
CRITICA,Dado para controle interno,1979
CRM,Número de inscrição do Médico atestante no Conselho Regional de Medicina,2014
CRSOCOR,"Regional de Saude de ocorrencia. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional",1979
CRSRES,"Regional de Saude de residencia. Este codigo e atribuido por cada estado e/ou municipio, nao fazendo parte da base nacional",1979
DATANASC,Data do nascimento do falec ido. Em caso de óbito fetal as datas de óbito e nascimento deverão ser iguais.(Data no padrão ddmmaaaa),1979
DATAOBITO,Data em que occoreu o óbito.(Data no padrão ddmmaaaa),1979
DATAREG,Data do recebimento. (Data no padrão ddmmaaaa),1979
DIFDATA,Diferença entre a data de óbito e data do recebime nto original da DO ([DTOBIT O] – [DTRECORIG]). (Números),2012
DTATESTADO,Data do Atestado .,2006
DTCADASTRO,Data do cadastro do óbito. (Data no padrão ddmmaaaa),2006
DTCADINF,Quando preenchido indica se a investigação foi realizada. (Data no padrão ddmmaaaa),2010
DTCADINV,Data do cadastro de investigação. (Data no padrão ddmmaaaa),2010
DTCONCASO,Data de conclusão do caso. (Data no padrão ddmmaaaa),2012
DTCONINV,Data da conclusão da investigação. (Data no padrão ddmmaaaa),2012
DTINVESTIG,Data da investigação do óbito. (Data no padrão ddmmaaaa),2006
DTNASC,Data do nascimento do falec ido. Em caso de óbito fetal as datas de óbito e nascimento deverão ser iguais.(Data no padrão ddmmaaaa),1996
DTOBITO,Data em que occoreu o óbito.(Data no padrão ddmmaaaa),1996
DTRECEBIM,Data do recebimento. (Data no padrão ddmmaaaa),2006
DTRECORIG,Data do recebimento original. (Data no padrão ddmmaaaa),2011
DTRECORIGA,Campo Criado  no Tratamento para Data do recebiment o original. (Data no padrão ddmmaaaa),2011
DTREGCART,Data do registro do cartório (Data no padrão ddmmaaaa),2012
ESC,Escolaridade em anos. (1 – Nenhuma; 2 – de 1 a 3 anos; 3 – de 4 a 7 anos; 4 – de 8 a 1 1 anos; 5 – 12 anos e mais; 9 – Ignorado),1996
ESC2010,Escolaridade 2010. Nível da última série concluída pelo falecido. (0 – Sem escolaridade; 1 – Fundamental I (1ª a 4ª série); 2 – Fundamental II (5ª a 8ª série); 3 – Médio (antigo 2º Grau); 4 – Superior incompleto; 5 – Superior completo; 9 – Ignorado),2011
ESCFALAGR1,Escolaridade do falecido agregada (formulário a partir de 2010). (00 – Sem Escolaridade; 01 – Fundame ntal I Incompleto; 02 – Fundamental I Completo; 03 – Fundamental II Incompl eto; 04 – Fundamental II Completo; 05 – Ensino Médio Incompl eto; 06 – Ensino Médio Completo; 07 – Superior Incompleto; 08 – Supe rior Completo; 09 – Ignorado; 10 – Fundamental I Incompleto ou Inespecífico; 11 – Fundamental II Incompleto ou Inespecífico; 12 – Ensino Médio Incompleto ou Inespecífico),2012
ESCMAE,Escolaridade da mãe em anos. (1 – Nenhuma; 2 – de 1 a 3 anos; 3 – de 4 a 7 anos; 4 – de 8 a 1 1 anos; 5 – 12 anos e mais; 9 – Ignorado),1996
ESCMAE2010,Escolaridade 2010. Nível da última série concluída pela mãe. (0 – Sem escolaridade; 1 – Fundamental I (1ª a 4ª série); 2 – Fundamental II (5ª a 8ª série); 3 – Médio (antigo 2º Grau); 4 – Superior incompleto; 5 – Superior completo; 9 – Ignorado),2011
ESCMAEAGR1,Escolaridade da mãe agreg ada (formulário a partir de 2010). (00 – Sem Escolaridade; 01 – Fundame ntal I Incompleto; 02 – Fundamental I Completo; 03 – Fundamental II Incompl eto; 04 – Fundamental II Completo; 05 – Ensino Médio Incompl eto; 06 – Ensino Médio Completo; 07 – Superior Incompleto; 08 – Supe rior Completo; 09 – Ignorado; 10 – Fundamental I Incompleto ou Inespecífico; 11 – Fundamental II Incompleto ou Inespecífico; 12 – Ensino Médio Incompleto ou Inespecífico),2012
ESTABDESCR,,2014
ESTCIV,Situação conjugal do falecid o informada pelos familiares . (1 – Solteiro; 2 – Casado; 3 – Viúvo; 4 – Separado judicialmente/divorciado ; 5 – União estável; 9 – Ignorado),1996
ESTCIVIL,"Estado civil, conforme a tabela: 1: Solteiro 2: Casado 3: Viúvo 4: Separado judicialmente 5: União consensual (versões anteriores) 9: Ignorado",1979
ETNIA,,1995
EXAME,Realização de exame. (1 – sim; 2 – não; 9 – ignorado),1979
EXPDIFDATA,,2012
FILHMORT,"Numero de filhos morto ignorados, nao incluindo o proprio. O valor zero corresponde a Nenhum filho morto e está codificado como XX.",1979
FILHVIVOS,Numero de filhos vivos. O valor zero corresponde a ignorado. Nenhum filho vivo esta codificado como XX.,1979
FONTE,fonte de informação utilizada para o preenchimento dos campos 48 e 49. (1 – ocorrência policial; 2 – hospital; 3 – família; 4 – outra; 9 – ignorado),1996
FONTEINV,Fonte de investigação. (1 – Comitê de Morte Materna e/ou Infantil; 2 – Visita domiciliar / Entrevista família; 3 – Estabelecimento de Saúde / Prontuário; 4 – Relacionado com outros bancos de dados; 5 – S V O; 6 – I M L; 7 – Outra fonte; 8 – Múltiplas fontes; 9 – Ignorado),2006
FONTES,"Combinado de caracteres conforme o preenchimento dos campos de fontes (FONTENTREV , FONTEAMBUL, FONTEPRONT , FONTESVO, FONTEIML, FONTEPROF): se preenchido caractere “S”, se o campo estiver vazio caractere “X”. (Letras)",2014
FONTESINF,,2014
FONTINFO,,1979
GESTACAO,Faixas de semanas de gestação (1 - Menos de 22 semanas; 2 - 22 a 27 semanas; 3 - 28 a 31 semanas; 4 - 32 a 36 semanas; 5 - 37 a 41 semanas; 6 - 42 e + semanas),1996
GRAVIDEZ,Tipo de gravidez. (1 – única; 2 – dupla; 3 – tripla e mais; 9 – ignorada),1996
HORAOBITO,Horário do óbito. (Números (padrão 24 horas 00:00)),2006
IDADE,"Idade do falecido em minutos, horas, dias, meses ou anos. (Idade: composto de dois subcampos. - O primeiro, de 1 dígito, indica a unidade da idade (se 1 = minuto, se 2 = hora, se 3 = mês, se 4 = ano, se = 5 idade maior que 100 anos). - O segundo, de dois dígitos, indica a quantidade de unidades: Idade menor de 1 hora: subcampo varia de 01 e 59 (minutos); De 1 a 23 Horas: subcampo varia de 01 a 23 (horas); De 24 horas e 29 dias: subcampo varia de 01 a 29 (dias); De 1 a menos de 12 meses completos: subcampo varia de 01 a 1 1 (meses); Anos - subcampo varia de 00 a 99; - 9 - ignorado)",1979
IDADEMAE,Idade da mãe. (Números),1979
INSTRMAE,"Instrução da mae, conforme codificação de INSTRUCAO",1979
INSTRPAI,"Instrução do pai, conforme codificação de INSTRUCAO",1979
INSTRUCAO,"Instrução, conforme a tabela:",1979
LINHAA,CIDs informad os na Linha A da DO referente ao diagnóstico na Linha A da DO (causa terminal - doença ou estado mórbido que causou diretamente a morte). (Códigos CID 10),1996
LINHAB,"CIDs informad os na Linha B da DO referente ao diagnóstico na Linha B da DO (causa antecedente ou conseqüencial - estado mórbido, se existir , que produziu a causa direta da morte registrada na linha A). (Códigos CID 10)",1996
LINHAC,"CIDs informados na Linha C da DO referente ao diagnóstico na Linha C da DO (causa antecedente ou conseqüencial - estado mórbido, se existir , que produziu a causa direta da morte registrada na linha A). (Códigos CID 10)",1996
LINHAD,"CIDs informados na Linha D da DO referente ao diagnóstico na Linha D da DO (causa básica – estado mórbido, se existir , que produziu a causa direta da morte registrada na linha A). (Códigos CID 10)",1996
LINHAII,CIDs informad os na Parte II da DO referente ao diagnóstico na Parte II da DO (causa contribu inte - outras condições significativas que contribuíram para a morte e que não entraram na cadeia definida na Parte I. (Códigos CID 10),1996
LOCACID,"Indica o local do acidente, se cabivel, conforme a tabela: 0: Ignorado 1: Via Publica 2: Domicilio 3: Outro 4: Local de trabalho",1979
LOCOCOR,Local de ocorr ência do óbito. (1 – hospital; 2 – outros estabelecimentos de saúde; 3 – domicílio; 4 – via pública; 5 – outros; 6 - aldeia indígena; 9 – ignorado).,1979
MORTEPARTO,Momento do óbito em relaçã o ao parto. (1 - antes; 2– durante; 3–depois; 9– Ignorado),2009
MUNIOCOR,"Municipio de ocorrencia do obito, conforme codificação do IBGE. V eja mais adiante, neste documento, as observações sobre a codificação de municipios",1979
MUNIRES,"Municipio de residencia, em codificação identica a de MUNIOCOR. Os óbitos de residentes no exterior ou de residencia completamente ignorada foram desprezados nos anos de 1979 a 1992",1979
NATURAL,País e Unidade da Federaçã o onde falecido nasceu. Se estrangeiro informar País. (Números),1979
NECROPSIA,Refere-se a execução ou não de necropsia para confirmação do diagnóstico. (1 – sim; 2 – não; 9 – ignorado),1979
NUDIASINF,,2014
NUDIASOBCO,"Diferença entre a data óbito  e a data conclusão da investigação, em dias. (Números)",2014
NUDIASOBIN,,2012
NUMERODN,Número da Declaração de Nascido V ivo. (Números),2006
NUMEROLOTE,Número do lote. (Números),2014
NUMEXPORT,Dado para controle interno,1979
NUMREGCART,Número do registro do cartório,2012
OBITOFE1,"Para óbitos femininos em idade fertil, indica se estava gravida no momento da morte, conforme a tabela: 0: Ignorado 1: Sim 2: Não",1979
OBITOFE2,"Para óbitos femininos em idade fertil, indica se esteve gravida nos 12 meses anteriores a morte, conforme a tabela: 0: Ignorado 1: Sim 2: Não",1979
OBITOGRAV,Óbito na gravidez. (1 – sim; 2 – não; 9 – ignorado),1996
OBITOPARTO,Momento do óbito em relaçã o ao parto. (1 - antes; 2– durante; 3–depois; 9– Ignorado),1996
OBITOPUERP,"Óbito no puerpério. (1 – Sim, até 42 dias após o parto; 2 – Sim, de 43 dias a 1 ano; 3 – Não; 9 – Ignorado)",1996
OCUP,Tipo de trabalho que o falecido desenvolveu na maior parte de sua vida produtiva. Preenchimento de acordo com Classifica ção Brasileira de Ocupações – CBO 2002. (Números),1996
OCUPACAO,"Ocupação, conforme a Classificação Brasileira de Ocupações (CBO)",1979
OCUPMAE,"Tipo de trabalho exercido habitualmente pela Mãe, de acordo com Classificação Brasileira de Ocupações – CBO 2002. No caso da mãe do falecido(a) ser “aposentada”, preencher com a ocupação habitual anterior .",1979
OCUPPAI,"Ocupação do pai, conforme codificação de OCUP ACAO",1979
ORIGEM,Origem do registro. (1- Oracl e; 2 - Banco estadual diponibilizado via FTP; 3 - Banco SEADE; 9 - Ignorado),2010
PARTO,Tipo de parto. (1 – vaginal; 2 – cesáreo; 9 – ignorado),1996
PESO,Peso ao nascer em gramas. (Número (quatro algarismos)),1996
PESONASC,"Peso ao nascer , em gramas",1979
QTDFILMORT,Número de filhos mortos. Não incluir a criança cujo óbito se notifica na respectiva DO. (Número; 9 - igonorado),1996
QTDFILVIVO,Número de filhos vivos. (Número; 9 - igonorado),1996
RACACOR,Cor informada pelo responsá vel pelas informações do falecido. (1 – Branca; 2 – Preta; 3 – Amarela; 4 – Parda; 5 – Indígena),1995
REGISTRO,Numero de registro do óbito,1979
SEMAGESTAC,Semanas de gestação com dois algarismos. (Números com dois algarismos; 9 - igonorado),2012
SEMANGEST,"Semanas de gestação, conforme as tabelas: Para os anos de 1979 a 1994: 0: Ignorado 1: Menos de 20 semanas 2: 20 a 27 semanas 3: 28 e mais semanas Para os anos a partir de 1995 0: Ignorado 4: Menos de 21 semanas 5: 22 a 27 semanas 6: 28 a 36 semanas 7: 37 a 41 semanas 8: 42 semanas e mais",1979
SERIESCFAL,Última série escolar concluída pelo falecido. (Números de 1 a 8),2012
SERIESCMAE,Última série escolar concluída pela mãe. (Números de 1 a 8),2012
SEXO,"Sexo do falecido. “Ignorado” selecionada em casos especiais como cadáveres mutilados, em estado avançado de decomposição, genitália indefinida ou hermafroditismo. (M – masculino; F – feminino; I - ignorado)",1979
STCODIFICA,Status de instalação. (Se codificadora (valor: S) ou não (valor: N)),2014
STDOEPIDEM,Status de DO Epidemiológica. (1 - Sim; 0 - Não),2011
STDONOVA,Status de DO Nova. (1 - Sim; 0 - Não),2011
TIPOACID,"Indica o tipo de acidente, se cabivel: 0: Ignorado 1: Atropelamento 2: Demais acidentes de transito 3: Queda 4: Afogamento 5: Outros tipos de acidente",1979
TIPOBITO,"Tipo do óbito Óbito fetal: morte antes da expulsão ou da extração completa do corpo da Mãe, independente mente da duração da gravidez. Indica o óbito o fato de o feto, depois da expulsão do corpo materno , não respirar nem apresentar nenhum outro sinal de vida, como batim entos do coração, pulsações do cordão umbil ical ou movimentos efetivos dos músculos de contração voluntária. (1-Fetal; 2-Não Fetal)",1979
TIPOGRAV,"Tipo de gravidez, conforme a tabela: 0: Ignorado 1: Unica 2: Dupla 3: Triplice 4: Mais de 3",1979
TIPOPARTO,"Tipo de parto, conforme a tabela: 0: Ignorado 1: Espontaneo 2: Operatorio 3: Forceps 4: Outro",1979
TIPOVIOL,"Indica o tipo de violencia, se cabivel, conforme a tabela: 0: Ignorado 1: Homicidio 2: Suicidio 3: Acidente 4: Outros tipos de violencia",1979
TPASSINA,-,2006
TPMORTEOCO,Situação gestacional ou pósgestacional em que ocorre u o óbito. (1 – na gravidez; 2 – no parto; 3 – no abortamento; 4 – até 42 dias após o término do parto; 5 – de 43 dias a 1 ano após o término da gestaçã o ; 8 – não ocorreu nestes períodos; 9 – ignorado),2012
TPNIVELINV,Tipo de nível investigador . (E – estadual; R- regional; M- Municipal),2014
TPOBITOCOR,"Momento da ocorrência do óbito. (1-Durante a gestação, 2- Durante o abortamento, 3- Após o abortamento , 4- No parto ou até 1 hora após o parto, 5- No puerpério - até 42 dias após o parto, 6- Entre 43 dias e até 1 ano após o parto, 7- A investigação não identificou o momento do óbito, 8- Mais de um ano após o parto , 9- O óbito não ocorreu nas circunstancias anteriores, Branco - Não investigado)",2009
TPPOS,Óbito investigado. (1 – sim; 2 – não),2006
TPRESGINFO,"Informa se a investigação permitiu o resgate de alguma causa de óbito não informado, ou a correção de alguma antes informada. (01 - Não acrescentou",2014
UFINFORM,Código da UF que informou o registro.,1979
VERSAOSCB,Versão do seletor de causa básica. (Números),2014
VERSAOSIST,Versão do sistema. (Números),2014
